IlmnID,Chromosome,MAPINFO
cg07247610,1,9097422
cg04901835,1,9127501
cg01800148,1,9130886
cg17243628,1,9131783
cg17952939,1,9154250
cg16553238,1,9154254
cg03583311,1,9187976
cg16097191,1,9262511
cg06899522,1,9355438
cg21686171,1,9504429
cg02787675,1,9686058
cg07793148,1,9712988
cg00298532,1,9790325
cg11581248,1,9887811
cg21117808,1,9887936
cg13871843,1,9887984
cg13218573,1,10011232
cg23107691,1,10057303
cg09578353,1,10490236
cg06176944,1,10495452
cg11415402,1,10509733
cg17425144,1,10567563
cg01063935,1,10616085
cg17221941,1,10730684
cg13387643,1,10737562
cg20935317,1,10739184
cg02903756,1,10750680
cg11073602,1,10768738
cg15622917,1,10796823
cg24102726,1,10855553
cg22499381,1,11024967
cg02454025,1,11042201
cg08854313,1,11322531
cg02338965,1,11476001
cg10964330,1,11565584
cg22501942,1,11798278
cg16429182,1,11824095
cg22877851,1,11847167
cg05228408,1,11865352
cg14194983,1,11908298
cg23355725,1,12079976
cg26343154,1,12089946
cg17838368,1,12120304
cg07731304,1,12124114
cg25382900,1,12148326
cg05599723,1,12241073
cg16513984,1,12261884
cg06758644,1,12533120
cg14381712,1,12546623
cg05756685,1,12571625
cg00291366,1,12616550
cg16047567,1,12664243
cg23603036,1,12675777
cg01083689,1,12678206
cg26811976,1,12944986
cg24274354,1,13034580
cg00906794,1,13184214
cg00961139,1,13475005
cg15563963,1,13910164
cg04886857,1,13914270
cg14615440,1,14220122
cg04145937,1,14504113
cg19626253,1,15062529
cg21581845,1,15127680
cg21833837,1,15250388
cg21413173,1,15271952
cg03398002,1,15272082
cg05946513,1,15467616
cg00188746,1,15480258
cg22670675,1,15533433
cg08815479,1,15573596
cg06838175,1,15573636
cg06536159,1,15631449
cg07180971,1,15707687
cg10130257,1,15709832
cg00970752,1,15711443
cg07148024,1,15753347
cg15952725,1,15783190
cg05660106,1,15850417
cg01105557,1,15931098
cg04781115,1,16010646
cg19025461,1,16163610
cg11895451,1,16533891
cg06365898,1,16533907
cg07781491,1,16554892
cg21141856,1,16565106
cg27540189,1,16819659
cg26785447,1,16849624
cg23913123,1,16858594
cg24725360,1,16860563
cg10969209,1,16861119
cg12918271,1,16861818
cg05334554,1,16863485
cg09936572,1,16932575
cg08135460,1,16941162
cg25215437,1,16969245
cg02779210,1,16972460
cg21460394,1,17020457
cg24402070,1,17046932
cg17984400,1,17047525
cg12440350,1,17084335
cg24402128,1,17092279
cg09861838,1,17197624
cg25976453,1,17198677
cg12647302,1,17201791
cg10483475,1,17212040
cg01327202,1,17215511
cg07255151,1,17216035
cg26541649,1,17216201
cg26152427,1,17223176
cg13866204,1,17241109
cg21807694,1,17248050
cg19368145,1,17248388
cg16716295,1,17293094
cg01783960,1,17298540
cg04236263,1,17305798
cg18879300,1,17446768
cg26516532,1,17475832
cg17747053,1,17633805
cg23913963,1,17766917
cg11806633,1,17887065
cg22524332,1,17960353
cg16393182,1,18472902
cg26230145,1,18526256
cg05945425,1,18694737
cg14356550,1,18808102
cg10205548,1,18975719
cg13786083,1,19110734
cg16986315,1,19181291
cg11406134,1,19202951
cg03420970,1,19261678
cg20432732,1,19451037
cg03985478,1,19596472
cg12798157,1,19600719
cg10970798,1,19665505
cg01534871,1,19926850
cg03517918,1,19946398
cg18923740,1,19971790
cg00755546,1,19971792
cg05776630,1,20015027
cg24674887,1,20092256
cg04289891,1,20395440
cg25745746,1,20617452
cg06444282,1,20669975
cg11417178,1,20696747
cg02994025,1,20902240
cg24455365,1,20961229
cg03432774,1,21033761
cg13305458,1,21050467
cg01010870,1,21059268
cg02994246,1,21587174
cg16416158,1,21652298
cg10699884,1,21661045
cg04349561,1,21808255
cg22719004,1,21864788
cg10112270,1,21913458
cg03132729,1,21947437
cg26362272,1,22108717
cg01794853,1,22265174
cg27522078,1,22290005
cg21385314,1,22303523
cg24033557,1,22378625
cg07033286,1,22432629
cg15094668,1,22571912
cg07371337,1,22599443
cg10838091,1,22889780
cg20335309,1,22899442
cg01628425,1,22902537
cg26413162,1,23289818
cg04974804,1,23521815
cg24580199,1,23763081
cg23664396,1,23895366
cg15988345,1,24122261
cg00988350,1,24126048
cg22077361,1,24195347
cg10953003,1,24195469
cg22614927,1,24195587
cg03750587,1,24239979
cg05801374,1,24283657
cg12768969,1,24439287
cg08757148,1,24513722
cg13574848,1,24611021
cg13987674,1,24649494
cg00917251,1,24829987
cg16006141,1,25167475
cg06377278,1,25256369
cg04907595,1,25258264
cg20670361,1,25258679
cg16220844,1,25593175
cg00786635,1,25594202
cg12037538,1,25664880
cg26659404,1,25747437
cg06961873,1,25825780
cg16585234,1,25944802
cg07242931,1,26034297
cg23675930,1,26054700
cg21187265,1,26127185
cg21139639,1,26145328
cg10241147,1,26147310
cg15662251,1,26197855
cg12805491,1,26198721
cg26937868,1,26202601
cg17493193,1,26440896
cg11418559,1,26487928
cg04280647,1,26488129
cg26543657,1,26488949
cg02171825,1,26517586
cg10539565,1,26560674
cg10402321,1,26617780
cg10209391,1,26633129
cg08572767,1,26644234
cg00813993,1,26644493
cg12733254,1,26682999
cg18634211,1,26737262
cg06577005,1,26758228
cg14164839,1,26823481
cg08034986,1,26860677
cg19242583,1,27056317
cg21863499,1,27113640
cg06511276,1,27155069
cg07786675,1,27189985
cg19125999,1,27287282
cg17860800,1,27287541
cg02555074,1,27319884
cg10635686,1,27358988
cg04249191,1,27384423
cg11244695,1,27436154
cg13300580,1,27440539
cg21139713,1,27675587
cg12748890,1,27676205
cg03750567,1,27676637
cg00851518,1,27676652
cg23299127,1,27693341
cg24932660,1,27709575
cg19719807,1,27709684
cg15388641,1,27732226
cg26785800,1,27855045
cg00065048,1,27962037
cg22237495,1,27964774
cg00695077,1,27998754
cg00668034,1,28098848
cg27634501,1,28099796
cg12479630,1,28157569
cg23691781,1,28212827
cg12694142,1,28217105
cg14378564,1,28417750
cg27573570,1,28422839
cg19166242,1,28449602
cg19808587,1,28520874
cg12630974,1,28655517
cg25150572,1,28763330
cg20696674,1,28826586
cg04872869,1,28908637
cg02772605,1,28912323
cg11336539,1,28994987
cg13487185,1,29213677
cg14016055,1,30511748
cg16171958,1,30557222
cg19919590,1,31229569
cg10001720,1,31231363
cg00456651,1,31380425
cg20790367,1,31492493
cg26034375,1,31907354
cg16103203,1,32041507
cg21822140,1,32221978
cg03147838,1,32226935
cg00389420,1,32254320
cg07817883,1,32538562
cg03523740,1,32645027
cg04031504,1,32645060
cg07971831,1,32655695
cg19721787,1,32670695
cg17223520,1,32739114
cg21932400,1,32893366
cg26419676,1,33505458
cg13099847,1,33546750
cg22166703,1,33722127
cg00392677,1,34086613
cg00124902,1,34645109
cg14036033,1,35206233
cg07594531,1,35225326
cg21151355,1,35246607
cg00259249,1,35246726
cg05860313,1,35395663
cg09364688,1,36038877
cg26372517,1,36039159
cg07196426,1,36042433
cg18131141,1,36043002
cg10117719,1,36181173
cg11582116,1,36348991
cg12809031,1,36915704
cg03954991,1,36916605
cg21488617,1,38022586
cg12339802,1,38156545
cg22425711,1,38200251
cg11664987,1,38201123
cg06444374,1,38474788
cg16926920,1,39174395
cg09814029,1,39212920
cg13976375,1,39281613
cg13202591,1,39281887
cg08944940,1,39643664
cg23108607,1,39879411
cg04287168,1,39956204
cg14611609,1,40026202
cg15123755,1,40075810
cg18862767,1,40137970
cg06209491,1,40138402
cg24358529,1,40204662
cg07377740,1,40349141
cg14963928,1,40392088
cg06804873,1,40419732
cg27173717,1,40420503
cg22716190,1,40560154
cg10827045,1,40562842
cg20929609,1,40626736
cg16359657,1,41119931
cg17109441,1,41304435
cg26556529,1,41308035
cg06248701,1,41350292
cg02290550,1,41487317
cg22435441,1,41487408
cg15962197,1,41704561
cg19471466,1,41828130
cg11706129,1,41889307
cg20239017,1,41961110
cg06885757,1,42089581
cg06785060,1,42180981
cg11857452,1,42224680
cg17220055,1,42248998
cg15937073,1,42384564
cg24998527,1,42611607
cg22816091,1,42611670
cg10197057,1,42612518
cg19728577,1,42619163
cg27535302,1,42631437
cg23212590,1,42645349
cg21271174,1,42911814
cg00060956,1,43209576
cg05460975,1,43212290
cg09348084,1,43233358
cg19300937,1,43283685
cg06761912,1,43389028
cg26185836,1,43392690
cg05802386,1,43422920
cg12656391,1,43425156
cg24729378,1,43609431
cg07138491,1,43613173
cg04355435,1,43736290
cg13421385,1,43834066
cg07299462,1,43855490
cg22029985,1,44085062
cg08552254,1,44115979
cg05370662,1,44172378
cg10886334,1,44334785
cg17170190,1,44445979
cg20290361,1,44460841
cg00125858,1,44569398
cg12590902,1,44771985
cg21534299,1,44821474
cg20944964,1,45083207
cg09470905,1,45101201
cg13876163,1,45140495
cg11814539,1,45166683
cg07173823,1,45190519
cg06170941,1,45252291
cg16078521,1,45672383
cg11750580,1,46088336
cg06687305,1,46088486
cg26889840,1,46153785
cg03146154,1,46216737
cg15157453,1,46663496
cg23713600,1,46671850
cg22973226,1,46705909
cg22509164,1,46766957
cg17806798,1,46807113
cg15580309,1,46814106
cg06911238,1,46859671
cg19921581,1,46859680
cg12671744,1,46859774
cg18261491,1,46859780
cg01057635,1,46914672
cg05050657,1,46957105
cg02289754,1,47068636
cg27439795,1,47086491
cg05638830,1,47181214
cg16149574,1,47365990
cg02291556,1,47656140
cg07707479,1,47879840
cg00806138,1,47881404
cg27175287,1,47883234
cg26365147,1,48038677
cg21399492,1,48055701
cg17739555,1,48059354
cg16966340,1,48170888
cg10985440,1,48176518
cg11193462,1,48190581
cg00294940,1,48687524
cg24553170,1,49243472
cg01891252,1,50881219
cg14279121,1,52194898
cg00528464,1,52498993
cg27168976,1,52521353
cg16557944,1,53068197
cg09161043,1,53068834
cg01920487,1,53132255
cg23250085,1,53143055
cg01019362,1,53163908
cg04310824,1,53393297
cg05232215,1,53393825
cg01132471,1,53556482
cg09134876,1,53600889
cg18046365,1,53608367
cg23824845,1,53921414
cg23213876,1,53924164
cg23681001,1,53936382
cg24547359,1,53975500
cg23174919,1,53977855
cg16701840,1,54041798
cg18202492,1,54274105
cg23780947,1,54304852
cg16646600,1,54562543
cg17035984,1,54619655
cg06356333,1,54686066
cg24341759,1,54769849
cg05628400,1,54828246
cg02152650,1,54968922
cg17894362,1,55117812
cg19806310,1,55151508
cg15694879,1,55181971
cg00045070,1,55504649
cg14977608,1,55506512
cg02920851,1,55530099
cg07808712,1,55868004
cg02468627,1,57043571
cg26851374,1,57432150
cg23691223,1,57785036
cg17325094,1,57809419
cg03517160,1,57873715
cg23710611,1,58098908
cg17225340,1,58628761
cg17821453,1,59008471
cg21113746,1,59039556
cg21536783,1,59041407
cg03677161,1,59278958
cg16037711,1,59280841
cg19520452,1,59369156
cg23996123,1,59369444
cg07810476,1,59374884
cg01415576,1,59653534
cg07503392,1,59762523
cg06995880,1,61516444
cg24680681,1,61542945
cg08457514,1,61803736
cg08035234,1,62107430
cg19022814,1,62107477
cg25131544,1,62107624
cg13462557,1,62499140
cg27424906,1,62662166
cg21695661,1,63796263
cg05762488,1,64140332
cg17171259,1,64469027
cg03041650,1,64627024
cg25210796,1,65089808
cg03976480,1,65177603
cg12075498,1,65428216
cg16618003,1,65432492
cg18324123,1,65614514
cg04567445,1,65730409
cg14976592,1,65886160
cg26342890,1,65988782
cg08716655,1,66257732
cg03435439,1,66458361
cg09320652,1,66708864
cg25408008,1,67391835
cg17930550,1,67519474
cg25208677,1,67521487
cg03975876,1,67773073
cg26918808,1,67950349
cg16270643,1,68038066
cg26804772,1,68084465
cg16682227,1,68516472
cg22850128,1,68654112
cg13367148,1,68958671
cg13057857,1,70033389
cg14981573,1,70671146
cg05928873,1,72302970
cg16356856,1,74663583
cg03837750,1,74664160
cg03513964,1,75139746
cg10128416,1,75198403
cg09502221,1,75198599
cg01540595,1,75590960
cg11196437,1,75593865
cg14613402,1,75597485
cg07404921,1,75600250
cg05928218,1,76188917
cg22875332,1,76189707
cg12601757,1,76540465
cg26557896,1,77165565
cg22440943,1,77224035
cg14023881,1,77230704
cg21297282,1,77525228
cg05120668,1,78275707
cg08228724,1,78444087
cg05340255,1,78470449
cg01784199,1,78470506
cg15015070,1,78567723
cg03949391,1,78956845
cg17415326,1,79350918
cg13175159,1,79472643
cg11188223,1,79658903
cg23639773,1,83289714
cg14404418,1,85085337
cg09264091,1,85219265
cg11654024,1,85230119
cg04100386,1,85238705
cg21422605,1,85313514
cg12062099,1,85527597
cg15715337,1,85600447
cg06983715,1,86042674
cg11750851,1,86047433
cg07602008,1,86048479
cg20960181,1,86094825
cg24089250,1,86116497
cg04896168,1,86968543
cg15903449,1,87277279
cg25726684,1,87288288
cg22856948,1,87594388
cg21144928,1,88928678
cg27399895,1,89829871
cg17603219,1,90401764
cg00077457,1,90460000
cg09547692,1,91027278
cg16527877,1,92036018
cg13078798,1,92203667
cg17074704,1,92350430
cg19245011,1,92414221
cg06442199,1,92414344
cg14732540,1,92414722
cg13299824,1,92414737
cg01081438,1,92417998
cg10399789,1,92945668
cg06338710,1,92946187
cg00247803,1,93101184
cg15624072,1,93811136
cg04620946,1,94144259
cg04350215,1,94559714
cg24726641,1,94712750
cg15395971,1,95010070
cg20059151,1,95286311
cg23653667,1,95453651
cg21782593,1,99469698
cg05596294,1,99729757
cg22017303,1,100327026
cg01821635,1,101089253
cg24534774,1,101106533
cg14515779,1,101123966
cg25762679,1,101185311
cg12433831,1,101443802
cg03585329,1,102263519
cg06899791,1,102700608
cg17820060,1,103343469
cg11391462,1,104113061
cg07343335,1,107936370
cg24343913,1,107937181
cg08950364,1,108039344
cg02978220,1,108337960
cg00501169,1,108769254
cg16315020,1,109359175
cg08945988,1,109633265
cg08655800,1,109735314
cg16562342,1,109783503
cg02175308,1,109941060
cg23032129,1,109941072
cg16988986,1,109941118
cg23616212,1,109941201
cg05947402,1,110052352
cg24867458,1,110090677
cg08859447,1,110197289
cg27182047,1,110199061
cg05376982,1,110254692
cg10807101,1,110282274
cg02011351,1,110612375
cg26878893,1,110614777
cg20778915,1,110670021
cg05783233,1,110694747
cg21217540,1,110752307
cg15726426,1,111216839
cg26071016,1,111217785
cg02291011,1,111510137
cg10117077,1,111740345
cg19269039,1,111743200
cg25211348,1,111769665
cg20823859,1,111971624
cg23068939,1,112016586
cg02947253,1,112046700
cg22482502,1,112525384
cg02951738,1,112533136
cg00118507,1,113215934
cg10114555,1,113216774
cg12134716,1,113250120
cg19507217,1,113251308
cg02917659,1,113261071
cg10541466,1,113425263
cg08650647,1,114544815
cg02157078,1,114888769
cg21813112,1,115054104
cg05625834,1,115209022
cg18396987,1,115398073
cg02030187,1,116383634
cg22427279,1,116384534
cg07577997,1,116653561
cg00969087,1,116710331
cg21456300,1,117207245
cg17755460,1,117491905
cg24687529,1,117529954
cg23953831,1,117544416
cg06605163,1,117599810
cg09099500,1,117635821
cg15597855,1,117753602
cg26219747,1,118472393
cg24144440,1,119526882
cg23371746,1,119532925
cg23249278,1,119624458
cg23267987,1,120414862
cg16166968,1,120439036
cg02725935,1,120612404
cg05659741,1,120906047
cg16724800,1,121259813
cg07316644,1,142622703
cg06807516,1,142714752
cg09074625,1,143664102
cg05137159,1,144534187
cg16010207,1,144892566
cg10010376,1,144932311
cg15743907,1,144994542
cg19741832,1,144994658
cg16528597,1,145013480
cg13129833,1,145023679
cg11197913,1,145054779
cg23933216,1,145059467
cg19084726,1,145075538
cg06767025,1,145110972
cg15395546,1,145397226
cg11246695,1,145576023
cg08922361,1,145989661
cg27533767,1,146498485
cg26810966,1,146515238
cg26399903,1,146519025
cg17856063,1,146543992
cg01701555,1,146544097
cg16237891,1,146544645
cg21263664,1,146549909
cg16814483,1,146550074
cg02487331,1,146550467
cg20449590,1,146551201
cg21908235,1,146551744
cg00838423,1,146552329
cg00044796,1,146552390
cg11576274,1,146552552
cg24853868,1,146555624
cg25311637,1,146556000
cg23014759,1,147059047
cg09828632,1,147534061
cg25862444,1,147737016
cg11407373,1,147741039
cg07393352,1,147750808
cg13899002,1,147768151
cg15558102,1,148242521
cg11340941,1,148526939
cg07565961,1,148569799
cg07719261,1,148901123
cg08639839,1,149069849
cg19085554,1,149132021
cg13879417,1,149149465
cg06927217,1,149193722
cg02088197,1,149212475
cg11333681,1,149232963
cg14530937,1,149233393
cg14497172,1,149399454
cg22731215,1,149403965
cg08860596,1,149717620
cg07572052,1,149821168
cg05950212,1,149860711
cg21208744,1,149909548
cg15120247,1,150244045
cg10055771,1,150254869
cg22162847,1,150534779
cg17724175,1,150552817
cg19750321,1,150808973
cg15448220,1,150897856
cg26820223,1,150898727
cg14827807,1,150943828
cg21859421,1,150969592
cg02571074,1,151023258
cg00653615,1,151029327
cg02698576,1,151104750
cg24262376,1,151137274
cg22513511,1,151162618
cg08026631,1,151372335
cg21206133,1,151511319
cg02493905,1,151520213
cg05098011,1,151736092
cg20686828,1,151764147
cg21784096,1,151799073
cg26230275,1,151965283
cg10673431,1,152010110
cg23107878,1,152161397
cg26320663,1,152161521
cg09127314,1,152161683
cg21280320,1,152162025
cg03606772,1,152487856
cg07821297,1,152596177
cg21535199,1,152749106
cg14792160,1,152758632
cg15531099,1,152770502
cg09417355,1,152814273
cg12891678,1,153015281
cg09169531,1,153030594
cg01798266,1,153320414
cg11787791,1,153329460
cg06355720,1,153333350
cg00666641,1,153353168
cg08123339,1,153463458
cg08127462,1,153514264
cg13091627,1,153518476
cg17107867,1,153522407
cg23656322,1,153533922
cg16348003,1,153589781
cg08477332,1,153590243
cg00012362,1,153599487
cg11343894,1,153599704
cg02331910,1,153599831
cg04077668,1,153600064
cg06419659,1,153600132
cg07898899,1,153600156
cg26548293,1,153606178
cg09762021,1,153762224
cg22153745,1,153894579
cg01628253,1,154244960
cg27442164,1,154304252
cg01435678,1,154377379
cg03920003,1,154582007
cg17218026,1,154582156
cg06221963,1,154839813
cg17747879,1,154929734
cg02293828,1,154946938
cg22505006,1,154981829
cg18832152,1,155035183
cg10861146,1,155099324
cg14666069,1,155145896
cg14528056,1,155194782
cg09037777,1,155265378
cg17741818,1,155293962
cg16589843,1,155869926
cg13795986,1,155880507
cg17218154,1,155904916
cg26924218,1,155950963
cg24674445,1,156076363
cg22820188,1,156086004
cg19263494,1,156181616
cg20674231,1,156190362
cg13282594,1,156211609
cg20302342,1,156215951
cg00781875,1,156252398
cg15122621,1,156341523
cg21877565,1,156461550
cg09319828,1,156551787
cg16564525,1,156561143
cg15208197,1,156561146
cg12220178,1,156721612
cg27314669,1,156822430
cg19260376,1,156875482
cg23731781,1,156877970
cg16242604,1,157104991
cg00272446,1,157164983
cg13355424,1,157165134
cg22515937,1,157790499
cg09075163,1,157978579
cg19355763,1,158223513
cg04132017,1,158450237
cg10030147,1,158748156
cg04922029,1,159174728
cg06251978,1,159507078
cg10016364,1,159770136
cg02371464,1,160040667
cg16879052,1,160054270
cg14210114,1,160061413
cg06210630,1,160085433
cg00084271,1,160121487
cg26875665,1,160340708
cg16428322,1,160389206
cg25215890,1,160651452
cg04409319,1,160774690
cg07832203,1,161050227
cg22585988,1,161059327
cg17150246,1,161068070
cg04486839,1,161334734
cg19662687,1,161337679
cg00339687,1,161348895
cg02954704,1,161349006
cg23915527,1,161368787
cg19247228,1,161369009
cg00549451,1,161409758
cg00975746,1,161409970
cg22730047,1,161410551
cg23840854,1,161414152
cg19240319,1,161427101
cg09846895,1,161442738
cg02086866,1,161492666
cg00396991,1,161494029
cg23691642,1,161494097
cg17405122,1,161494852
cg26017915,1,161496726
cg18298815,1,161519989
cg03228353,1,161520094
cg08879849,1,161572679
cg02106043,1,161575319
cg05178502,1,161575766
cg10815343,1,161575992
cg01335180,1,161576580
cg04094791,1,161576629
cg26022242,1,161576956
cg27514565,1,161581262
cg22396792,1,161582290
cg08926056,1,161591591
cg26561570,1,161602002
cg19234439,1,161602335
cg04888234,1,161675579
cg22678092,1,161691014
cg00160981,1,161691911
cg11141696,1,161700167
cg22609497,1,162331533
cg19678111,1,162351367
cg00859178,1,162467208
cg04469686,1,162760199
cg23261375,1,163437170
cg26012608,1,163468521
cg12137928,1,163806482
cg00222472,1,164545783
cg16127349,1,164728497
cg17161180,1,165086088
cg01719898,1,165327830
cg24106943,1,165738203
cg01427815,1,165811984
cg00167259,1,166590947
cg06088759,1,166890644
cg06899530,1,166916866
cg23595055,1,167063668
cg10951736,1,167095747
cg17111087,1,167407514
cg21783847,1,167522422
cg22372668,1,167525175
cg05821866,1,167905319
cg20284239,1,168091000
cg19904349,1,168758593
cg25464921,1,169429698
cg16548605,1,169453550
cg00691125,1,169455409
cg00325917,1,169671116
cg01942971,1,171045267
cg02694395,1,171283893
cg01410279,1,171621941
cg20598894,1,171756153
cg26031982,1,171809804
cg01017147,1,171810105
cg27543222,1,172413163
cg25302646,1,173445043
cg01209226,1,173447015
cg03053553,1,174526483
cg02482603,1,174843754
cg05702218,1,174843909
cg04085339,1,174967695
cg26787020,1,174968089
cg24338780,1,174968123
cg16743289,1,174968144
cg13384453,1,174968388
cg19870284,1,175014037
cg20254763,1,175122830
cg27226320,1,175158326
cg20291033,1,175712871
cg12728543,1,175961687
cg08889551,1,176175820
cg13480937,1,177112230
cg08851607,1,177130255
cg11379972,1,179541338
cg13931925,1,179545216
cg24867790,1,179545668
cg07104039,1,179558048
cg13848905,1,179560700
cg07171496,1,179560754
cg14748380,1,179713788
cg24460126,1,179713828
cg21363811,1,179713950
cg24865482,1,180069210
cg19936954,1,180148192
cg25680829,1,180198309
cg14838757,1,180662660
cg15084269,1,180993237
cg20991152,1,181290986
cg02974928,1,181452044
cg17143291,1,181458839
cg16898334,1,181767774
cg17502780,1,182176185
cg25591868,1,182573931
cg06894198,1,182643158
cg24146518,1,183155097
cg23696949,1,183155644
cg16263152,1,183287819
cg23961843,1,183623675
cg11346030,1,184090950
cg19255053,1,184944109
cg14531576,1,186095757
cg25147026,1,186650441
cg20146904,1,192216653
cg02586212,1,192544902
cg24679007,1,192604413
cg12047012,1,192777886
cg05374271,1,192778890
cg16274353,1,193055237
cg08969297,1,193105630
cg17830067,1,193888105
cg07478944,1,196281916
cg00564737,1,196847182
cg06952534,1,196946228
cg11215015,1,197116161
cg24461171,1,197745025
cg17521338,1,197881501
